obs,中文名,英文名,评分,评价数,近期售出数,价格,种类,葡萄品种,年份,COO原产地,级别,酒精度,容量,香味分类,色泽,酒体,口感分类,建议醒酒时间,搭配菜肴,品鉴,商品ID
58,"
								拉莫塔甜起泡草莓味配制酒",La Moretta Fragolino,"
												90%
										",102,近期售出数 11036,168,"
											其他 其他","
											80%玛尔维萨(malvasia), 20%慕斯卡黛(moscato)","
											0000","
											意大利(Italy) 皮埃蒙特(Piemonte)","
											NV","
											7.5%","
											750ml","
											花香、果香","
											亮红色","
											中高","
											清爽","
											即开即饮","
											可搭配所有的甜点，特别是饼干，牛乳糖和水果色拉。作为餐前开胃酒也是很不错的选择",  ,5172837
59,"
								（国内提货）骑士庄园干红葡萄酒2017期酒",Domaine de Chevalier 2017,"
												100%
										",0,近期售出数 3,560,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6238537
60,"
								干露侯爵黑皮诺",Marques de Casa Concha Pinot Noir,"
												100%
										",0,近期售出数 3,289,"
											红葡萄酒 干红","
											黑皮诺",  ,"
											智利(Chile) 其他",  ,  ,"
											750ml","
											黑梅、樱桃","
											宝石红","
											中","
											饱满",  ,  ,"
											无",6237230
61,"
								（香港提货）木桐城堡副牌干红葡萄酒2017期酒",Petit Mouton 2017,"
												100%
										",0,近期售出数 8,1228,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6238949
62,"
								（国内提货）克拉米伦庄园红葡萄酒2017期酒",Clerc Milon 2017,"
												100%
										",0,近期售出数 7,668,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6238580
63,"
								艾拉贝拉长相思干白葡萄酒",Arabella Sauvignon Blanc,"
												100%
										",0,近期售出数 5,59,"
											白葡萄酒 干白","
											100%长相思(Sauvignon Blanc)",  ,"
											南非(South Africa) 西开普产地(Western Cape)",  ,"
											13.5%","
											750毫升","
											青草、西番莲、番石榴、鹅莓、青椒","
											黄绿色","
											中低","
											清爽","
											2010年份米开朗基罗2010－银奖；2008年份2009年《葡萄酒》杂志－最超值葡萄酒款","
											牡蛎、贝类、生鱼片",  ,6235629
64,"
								（国内提货）飞龙世家干红葡萄酒2017期酒",Phelan Segur,"
												100%
										",0,近期售出数 12,418,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,  ,  ,  ,  ,6238686
65,"
								【名庄】拉高斯城堡干红葡萄酒2013", Chateau Grand Puy Lacoste  ,"
												100%
										",0,近期售出数 13,398,"
											红葡萄酒 干红","
											赤霞珠(Cabernet Sauvignon)、梅洛(Merlot)、品丽珠(Cabernet Franc)、小维多(Petit Verdot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											波尔多梅多克1855分级列级酒庄之5级列庄(5th GCC en 1855)","
											0.13",  ,"
											樱桃、覆盆子、薄荷","
											深宝石红色","
											中高","
											平衡",  ,  ,  ,6219895
66,"
								（国内提货）凯隆世家城堡干红葡萄酒2017期酒",Calon Segur 2017,"
												100%
										",0,近期售出数 8,788,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,"
											中高","
											饱满",  ,  ,  ,6238843
67,"
								（国内提货）拉图嘉利城堡干红葡萄酒2017期酒",La Tour Carnet 2017,"
												100%
										",0,近期售出数 7,308,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,"
											中高","
											饱满",  ,  ,  ,6238353
68,"
								（香港提货）马利哥庄园干红葡萄酒2017期酒",Malescot St Exupery 2017,"
												100%
										",0,近期售出数 9,348,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,  ,  ,  ,  ,6238478
69,"
								（香港提货）乐王吉尔城堡干红葡萄酒2017期酒",Evangile 2017 HK Pick Up,"
												100%
										",0,近期售出数 12,1520,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,  ,  ,  ,  ,6238552
70,"
								（香港提货）克莱蒙教皇堡干白葡萄酒2017期酒",Pape Clement Blanc 2017,"
												100%
										",0,近期售出数 12,850,"
											白葡萄酒 干白",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,  ,  ,  ,  ,6238387
71,"
								红顶鹳庄园西拉干红葡萄酒",Turkey Flat Shiraz,"
												100%
										",4,近期售出数 11,498,"
											红葡萄酒 干红","
											100%西拉/设拉子(Syrah/Shiraz)","
											2006","
											澳大利亚(Australia) 南澳(South Australia)","
											澳大利亚优质酒庄","
											14.5%","
											750ml","
											展现了迷人的黑莓、李子、烟草和黑胡椒的香气。入口会让你感受到这款酒紧致复杂的酒体，丰富持久的黑加仑和李子的香气，并伴有些许黑巧克力和雪松的味道。","
											深紫色","
											重","
											饱满","
											30分钟","
											红肉类，烧烤、烟熏或烘烤食物",  ,5195513
72,"
								（国内提货）玫瑰山庄干红葡萄酒2017期酒",Montrose 2017,"
												100%
										",0,近期售出数 14,1238,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,"
											饱满",  ,  ,  ,6238941
73,"
								【名庄】宝捷城堡干红2013（又名宝爵）",CHATEAU POUJEAUX 2013,"
												100%
										",0,近期售出数 19,269,"
											红葡萄酒 干红","
											Cabernet Sauvignon/Merlot/Cabernet Franc/Petit Verdot",  ,"
											法国(France) 波尔多(Bordeaux)","
											波尔多特级酒庄联合会成员","
											13%（v/v）","
											750ML","
											成熟的黑色水果香，香料","
											紫红色","
											中","
											饱满","
											60分钟","
											肉类、芝士",  ,6234926
74,"
								（香港提货）侯伯王城堡干红葡萄酒2017期酒",Haut Brion 2017,"
												100%
										",0,近期售出数 19,3088,"
											红葡萄酒 干红",  ,  ,"
											法国(France) 波尔多(Bordeaux)",  ,  ,"
											750ML",  ,  ,  ,  ,  ,  ,  ,6239032
75,"
								朗布鲁斯甜桃红起泡葡萄酒",LAMBRUSCO  ROSATO,"
												100%
										",0,近期售出数 25,68,"
											起泡酒 甜起泡酒","
											朗布鲁斯",  ,"
											意大利(Italy) 艾米利亚·罗马涅(Emillia Romagna)","
											IGP","
											7.5%vol","
											750毫升","
											柑橘水果香气","
											黄红色","
											轻","
											清雅","
											即开即饮","
											火锅、沙拉、甜点",  ,6237173
76,"
								【名庄】娜露斯庄园红葡萄酒2004",Chateau Laroze,  ,  ,  ,  ,"
											红葡萄酒 干红","
											美乐(Merlot),品丽珠(Cabernet Franc),赤霞珠(Cabernet Sauvignon)","
											2004","
											法国(France) 波尔多(Bordeaux)","
											圣爱美隆列级酒庄","
											13.0%","
											750ml","
											黑莓、石墨、烟草","
											宝石红","
											中高","
											平衡","
											30分钟","
											鱼、贝壳类食物","
											12-18个月",6207267
77,"
								杰卡斯西拉子红葡萄酒  6支整箱装  750ml*6",Jacob's Creek Classic Shiraz,"
												100%
										",0,近期售出数 107,378,"
																红葡萄酒 干红","
																西拉/设拉子(Syrah/Shiraz)",  ,"
																澳大利亚(Australia) 南澳(South Australia)","
																澳大利亚优质酒庄","
																13.0%","
																750ML","
																李子和黑莓融为一体的香气","
																亮的深红色","
																中","
																平衡","
																30分钟","
																红肉类食物","
																无",6230870
78,"
								卡索古堡干红葡萄酒-6支装",  ,"
												100%
										",0,近期售出数 396,414,"
																红葡萄酒 干红","
																40%梅洛(Merlot)25%品丽珠(Cabernet Franc)35%赤霞珠(Cabernet Sauvignon)","
																0000","
																法国(France) 波尔多(Bordeaux)","
																波尔多法定产区A.O.C(Bordeaux A.O.C)","
																13.5%","
																750ml","
																薄荷 成熟水果的香味","
																深宝石红色",  ,"
																圆润","
																2008年份获得2010年度马贡大奖赛金奖，2009年份里昂金奖。具有金奖家族历史的酒款。","
																红肉 家禽 奶酪",  ,6233312
79,"
								西莫半干白葡萄酒",Castillo San Simon Blanco Semi-Dry,"
												100%
										",0,近期售出数 6516,69,"
											白葡萄酒 半干白","
											爱人(Airen),马卡贝奥(Macabeo)",  ,"
											西班牙(Spain) 卡斯蒂利亚-拉曼恰(Castile-La Mancha)","
											DO","
											0.11","
											750ml","
											柑橘，桃子","
											柠檬色","
											中","
											清爽","
											胡米利亚产品“醉”畅销品牌","
											海鲜，水果，甜点","
											无",6227969
80,"
								*弗朗克美乐干红葡萄酒*",LE GRAND FRANCK MERLOT,"
												100%
										",0,近期售出数 1761,168,"
											红葡萄酒 干红","
											100%美乐(Merlot)",  ,"
											法国(France) 朗格多克鲁西荣(Languedoc Roussillon)","
											IGP","
											13.5%vol","
											750ml","
											成熟的红色水果香气，带有辛香料味","
											宝石红色","
											中","
											圆润","
											15-20分钟","
											奶酪、红肉类、熟食","
											无",6232105
81,"
								罗萨堡特级干红 2002",  ,"
												100%
										",0,近期售出数 517,598,"
											红葡萄酒 干红","
											60%赤霞珠(Cabernet Sauvignon),40%美乐(Merlot)",  ,"
											法国(France) 波尔多(Bordeaux)","
											1855列级酒庄4级庄所属","
											0.125","
											750ml","
											黑梅、樱桃","
											深紫色","
											中高","
											饱满","
											30分钟","
											红肉类食物",  ,6226957
